A213	Alpha Research Inc
A214	Alpha Solarco, Inc
A215	Alpha Ultrasonics & Electronics Corporation
A216	Alpha II Inc
A217	Alpine American Corp
A218	Alpine Geophysical'Associates, Inc
A219	Alpine Laboratories, Inc
A220	Alrac Corporation
A221	Altec Corporation
A222	Altek Corporation
A223	Altenburg and Company
A224	Alten Foundry & Machine Works, Inc
A225	Alternative Investments Corp
A226	Alton Box Board Company
A227	Alturdyne
A228	Aluminum Company of America
A229	Alva-Tech Inc
A230	Alza Corporation
A231	AMAF Industries, Inc
A232	The Amalgamated Sugar Company
A233	Amatech Instrumentation, Inc
A234	Amatool Corp
A235	Amax Inc
A236	Ambassador Enterprises, Inc
A237	Amber Laboratories
A238	AMCA International Corporation
A239	AMDEC
A240	Amdek Corporation
A241	Ameliotex, Inc
A242	Amerace Corporation
A243	Amercom, Inc
A244	American Acrylic Corporation
A245	American Adhesive Products Co
A246	American Agar & Chemical Co
A247	American Aluminum Company
A248	American Bacteriological & Chemical Research Corporation
A249	American Bar Foundation
A250	American Biltrite, Inc
A251	American Bio-Chemical Laboratory, Inc
A252	American Bioculturc, Inc
A253	American Bio-Synthetics Corporation
A254	American Brands, Inc
A255	American Can Company
A256	American Cast Iron Pipe Company
A257	American Chemical Company, Inc
A258	American Chemical & Refining Co, Inc
A259	American Chemical & Research Laboratories
A260	American Chemmate Corporation
A260	American Chemmate Corporation
A261	The American College Testing Program
A262	American Communications Corporation
A263	American Council of Life Insurance
A264	American Cyanamid Company
A265	American Cystoscope Makers, Inc
A266	American District Telegraph Co (ADT)
A267	American Durafilm Co, Inc
A268	American Electronic Laboratories, Inc
A269	American Electronic Service Corporation
A270	American Electroplating Company
A271	American Enterprise Institute for Public Policy Research
A272	American Federation of Labor and Congress of Industrial Organizations (AFL-CIO)
A273	American Gas Association
A274	American Glass Research, Inc
A275	American Hoechst Corporation
A276	American Home Products Corporation
A277	American Hospital Association
A278	American Hospital Supply Corporation
A279	American Hydrotherm Corp
A280	American Infra-Red Inc
A281	The American Institute of Architects
A282	American Institute of Baking
A283	American Institute of Crop Ecology
A284	The American Institute of Family Relations
A285	American Institute of the History of Pharmacy
A286	American Institutes for Research
A287	American Interplex Corporation
A288	American Justice Institute
A289	American Lecithin Company
A290	American Magnetics, Inc
A291	American Maize-Products Company
A292	American Malleable Castings Co
A293	American Management Associations
A294	American Metaseal Corporation of Maryland
A295	American Motors Corporation
A296	The American Museum Of Natural History
A297	American Mutual Liability Insurance
A298	American Nucleonics Corporation
A299	American Packaging Corp
A300	American Petrofina, Inc
A301	American Petroleum Institute
A302	American Pharmaceutical Co
A303	American Plywood Association
A304	American Potato Company
A305	American Precision Industries Inc
A306	American Research Corporation
A307	American Research & Testing Laboratories
A309	American Science & Engineering, Inc
A310	American Scientific Corp
A311	American Seating Co
A312	WACO American Solar King Corp
A313	American Standards Testing Bureau, Inc
A314	American Sterilizer Company
A315	American Telephone & Telegraph Company
A316	American Testing Laboratories, Inc
A317	American Thread Co
A318	American Trading And Production Corporation
A319	American Type Culture Collection
A320	American Welding & Manufacturing Company
A321	Americas Development & Research Corporation
A322	Americhem, Inc
A323	Ameron, Inc
A324	The Ames Laboratories Inc
A325	Ames Supply Company
A326	AMETEK, Inc
A327	Amfac, Inc
A328	AMF Incorporated
A329	Amherst Associates, Inc
A330	Amicon Corporation
A331	Amicor Inc
A332	AM International Inc
A333	Ampco-Pittsburgh Corp
A334	Ampex Corporation
A335	AMP Incorporated
A336	Amray Inc
A337	AMR Biological Research, Inc
A338	Amrigon, Incorporated
A339	Amstar Corp
A340	Amsted Industries Incorporated
A341	Amuedo And Ivey
A342	ADA Amway Corporation
A343	Anachem, Inc
A344	Anadite, Inc
A345	Anagram Corporation
A346	Ana-Lab Corporation
A347	Analogic Corp
A348	Analog Technology Corporation
A349	Analysis & Computer Systems, Inc
A350	Analysis & Technology, Inc
A351	Analyst Consulting Labs, Inc
A352	Analysts, Inc
A353	Analytic Advisory Group, Inc
A354	Analytical and Computational Mathematics, Inc
A355	Analytical Biochemistry Laboratories, Inc
A356	Analytical Development Corporation
A357	Analytical Mechanics Associates, Inc
A358	Analytical Methods, Inc
A359	Analytical Research Associates, Inc
A360	Analytical Research Laboratories, Inc
A361	Analytical Systems Engineering Corporation
A362	Analytical Technology Laboratories Inc
A363	Analytics
A364	The Analytic Sciences Corporation
A365	Analytic Services, Inc
A366	Analytic Systems, Inc
A367	Anchor Continental Incorporated
A368	Anchor Hocking Corporation
A369	Anchor Specialty Manufacturing Company, Inc
A370	Andco Environmental Processes, Inc
A371	Andersen Laboratories, Inc
A372	Art Anderson Associates, Inc
A373	Anderson & Associates, Incorporated
A374	Anderson & Berdie Associates, Inc
A375	Anderson, Clayton & Co
A376	Anderson Development Company
A377	Anderson, Greenwood & Co
A378	Anderson Jacobson, Inc
A379	Anderson Laboratories, Inc
A380	Anderson Oil and Chemical Company, Inc
A381	The Andersons
A382	Andonian Cryogenics, Inc
A383	Andrea Radio Corp
A384	Andreco Corporation
A385	Andrew Corp
A386	Andrews Paper & Chemical Co, Inc
A387	Andros Incorporated
A388	Andrulis Research Corporation
A389	Angelo Industries, Inc
A390	Angstrohm Precision Inc
A391	Anheuser-Busch, Inc
A392	Animation Arts Associates, Inc
A393	Anken Industries
A394	R B Annis Co
A395	Anodyne, Inc
A396	Anorad Corp
A397	Anoroc Industries, Inc
A398	Anresco, Incorporated
A399	The Ansul Company
A400	Antek Instruments, Inc
A401	Antelman Research Associates
A402	Antenna Research Associates, Inc
A403	Anter Laboratories, Inc
A404	Anti-Hydro Waterproofing Co
A405	Anver Bioscience Design, Inc
A407	A P Circuit Corp
A408	AP Co. Inc
A409	Apeco Corporation
A410	APM Hexseal Corporation
A411	Apollo Chemical Corp
A412	Apollo Lasers, Inc
A413	Apollo Metals, Incorporated
A414	Appalachia Educational Lab, inc
A415	Appleton Mills
A416	Appleton Papers Inc
A417	Applications Technology Associates, Inc
A418	Applied Agricultural Research, Inc
A419	I Applied Biochemists, Inc
A420	Applied Biological Sciences Laboratories, Inc
A421	Applied Biology, Inc
A422	Applied Combustion Technology, Inc
A423	Applied Communication Research, Inc
A424	Applied Controls Co, Inc
A425	Applied Data Research, Inc
A426	Applied Design Co Inc
A427	Applied Devices Corp
A428	Applied Electro Mechanics Inc
A429	Applied Electro Technology, Inc
A430	Applied Energy Company
A431	Airflow Company AUS Applied Hydro-Acoustics Research, Inc
A432	Applied Magnetics Corporation
A433	Applied Management Corporation
A434	Applied Management Sciences, Inc
A435	Applied Materials Inc
A436	STOW Applied Optomechanical Kenetics
A437	Applied Psychological Services, Inc
A438	The Applied Radiant Energy Corp
A439	NORTH TROY Applied Research and Development, Inc
